date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,dateChecked,death,hospitalized,totalTestResults,lastModified,recovered,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
20210307,56,28756489,74582825,11808,40199,878613,8134,45475,2802,4281,2021-03-07T24:00:00Z,515151,878613,363825123,2021-03-07T24:00:00Z,,0,0,842,726,131835,41835,1170059,5468834088e2fb08a860dda6178a1faabe61edce
20210306,56,28714654,74450990,11783,41401,877887,8409,45453,2811,4280,2021-03-06T24:00:00Z,514309,877887,362655064,2021-03-06T24:00:00Z,,0,0,1680,503,143835,60015,1430992,21a596203ad2c78f4e54d1e69967caf126a2a5a7
20210305,56,28654639,74307155,12213,42541,877384,8634,45373,2889,4275,2021-03-05T24:00:00Z,512629,877384,361224072,2021-03-05T24:00:00Z,,0,0,2221,2781,271917,68787,1744417,a35ea4289cec4bb55c9f29ae04ec0fd5ac4e0222
20210304,56,28585852,74035238,12405,44172,874603,8970,45293,2973,4267,2021-03-04T24:00:00Z,510408,874603,359479655,2021-03-04T24:00:00Z,,0,0,1743,1530,177957,65487,1590984,a19ad6379a653834cbda3093791ad2c3b9fab5ff
20210303,56,28520365,73857281,11778,45462,873073,9359,45214,3094,4260,2021-03-03T24:00:00Z,508665,873073,357888671,2021-03-03T24:00:00Z,,0,0,2449,2172,267001,66836,1406795,9e1d2afda1b0ec243060d6f68a7134d011c0cb2a
20210302,56,28453529,73590280,11196,46388,870901,9465,45084,3169,4257,2021-03-02T24:00:00Z,506216,870901,356481876,2021-03-02T24:00:00Z,,0,0,1728,1871,255779,54248,1343519,d09d1f506dacacd07f11102ddf356ffc29bbaeb6
20210301,56,28399281,73334501,11748,46738,869030,9595,44956,3171,4252,2021-03-01T24:00:00Z,504488,869030,355138357,2021-03-01T24:00:00Z,,0,0,1241,1024,118077,48092,1154440,b8084497a1216c1ba4e391d7496b7c0ee669cffa
20210228,56,28351189,73216424,11708,47352,868006,9802,44907,3245,4252,2021-02-28T24:00:00Z,503247,868006,353983917,2021-02-28T24:00:00Z,,0,0,1051,879,203599,54349,1408422,c7cfdf3c2bf7472966bada1560de5d2d7a30277e
20210227,56,28296840,73012825,11731,48871,867127,10114,44875,3335,4252,2021-02-27T24:00:00Z,502196,867127,352575495,2021-02-27T24:00:00Z,,0,0,1847,1428,205090,71245,1655179,b1154e8002e47ec585f769adf5ceecaa53dc8cbb
20210226,56,28225595,72807735,11945,51112,865699,10466,44791,3466,4247,2021-02-26T24:00:00Z,500349,865699,350920316,2021-02-26T24:00:00Z,,0,0,2141,1868,276829,74857,1803309,24286d9bbff64d4ff6b09301e75eac682dafc732
