date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200610,AK,593,67127,,22,,,,3,,392,A,6/10/2020 00:00,2020-06-10T00:00:00Z,06/09 20:00,11,,2020-06-10T00:00:00Z,67720,,,,02,20,810,67720,67720,830,67720,0,0,c9486e6829e118950bb3df693089884e90df1761,0,0,0,0,0,
20200610,AL,21989,251068,,629,2129,,646,,378,13508,B,6/10/2020 11:00,2020-06-10T11:00:00Z,06/10 07:00,744,2129,2020-06-10T11:00:00Z,,,,21626,01,567,4751,273057,273057,5318,273057,15,42,19414d6567b3415847b4d4d5d4c191f2b954647f,0,0,0,0,0,
20200610,AR,10368,165849,,181,901,,,49,147,7116,A,6/10/2020 15:00,2020-06-10T15:00:00Z,06/10 11:00,165,901,2020-06-10T15:00:00Z,,,,10368,05,288,10148,176217,176217,10436,176217,4,36,4f7e7ec67e53107f2fa8e266de2611ee7fa856a0,0,0,0,0,0,
20200610,AS,0,174,,,,,,,,,C,6/1/2020 00:00,2020-06-01T00:00:00Z,05/31 20:00,0,,2020-06-01T00:00:00Z,,,,,60,0,0,174,174,0,174,0,0,df859dd2c0ab9a716bf814f98e696d8a2150c0c0,0,0,0,0,0,
20200610,AZ,29852,269835,,1274,3476,413,,273,,5851,A+,6/10/2020 00:00,2020-06-10T00:00:00Z,06/09 20:00,1095,3476,2020-06-10T00:00:00Z,299687,,,,04,1556,4918,299687,299687,6474,299687,25,70,650419e678ecd4d5ac874e5818dc784a35e4d2d6,0,0,0,0,0,
20200610,CA,136191,2404607,,4719,,1326,,,,,B,6/10/2020 00:00,2020-06-10T00:00:00Z,06/09 20:00,4776,,2020-06-10T00:00:00Z,2540798,,,136191,06,2702,51851,2540798,2540798,54553,2540798,79,0,7e73c8271eb88eb691b66084db9ec921932a9f3d,0,0,0,0,0,
20200610,CO,28347,197747,,305,5025,,,,,4130,A,6/10/2020 00:00,2020-06-10T00:00:00Z,06/09 20:00,1553,5025,2020-06-10T00:00:00Z,,,,25787,08,164,4043,226094,226094,4207,226094,10,166,8984ccd6aafb48887baa27bd7e12020f4f2d5eb9,0,0,0,0,0,
20200610,CT,44347,272566,,270,9669,,,,,7284,B,6/9/2020 20:30,2020-06-09T20:30:00Z,06/09 16:30,4120,9669,2020-06-09T20:30:00Z,315014,,,42448,09,168,4094,316913,316913,4262,316913,23,0,437157de41aba50dbc427ac35c01dcca8fe795e7,0,0,0,0,0,
20200610,DC,9537,48655,,245,,79,,60,,1143,A+,6/9/2020 00:00,2020-06-09T00:00:00Z,06/08 20:00,499,,2020-06-09T00:00:00Z,,,,9537,11,63,977,58192,58192,1040,58192,4,0,cf12aa3c93be6eb2e2515f5d5ff00f13e4db487d,0,0,0,0,0,
20200610,DE,10056,61689,,108,,,,,,5939,A,6/9/2020 18:00,2020-06-09T18:00:00Z,06/09 14:00,413,,2020-06-09T18:00:00Z,,,,10056,10,36,956,71745,71745,992,71745,3,0,e8344013ce17fc78e8f460c7c809172c725cfdde,0,0,0,0,0,
20200610,FL,67371,1211652,1134,,11621,,,,,,A,6/10/2020 10:00,2020-06-10T10:00:00Z,06/10 06:00,2889,11621,2020-06-10T10:00:00Z,1501053,91285,1406853,67371,12,1371,19347,1280157,1279023,20718,1279023,38,161,0f46d9ba6bb0383e0060444f47dd4a85f92a82d9,0,0,0,0,0,
