date,state,positive,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200923,AK,7941,425257,,433198,43,,,,14,,2731,A,9/23/2020 03:59,2020-09-23T03:59:00Z,09/22 23:59,45,,2020-09-23T03:59:00Z,433198,7180,425736,7941,45,,,,,,,,,,,,,,02,55,1952,433198,posNeg,2007,433198,0,0,77a29837bdfd97f18040622b1984ee7b87e863b8,0,0,0,0,0,
20200923,AL,147153,938451,,1070903,768,16698,,1669,,920,64583,A,9/23/2020 11:00,2020-09-23T11:00:00Z,09/23 07:00,2488,16698,2020-09-23T11:00:00Z,1070903,,,132452,2335,153,,,,,,57192,,,,,,,01,569,4886,1085604,posNeg,5350,1085604,31,94,64268ac422e3a504e9b8401b29b1a739bf4ee1ba,0,0,0,0,0,
20200923,AR,77963,831301,,906947,460,5098,221,,89,640,69952,A+,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,1229,5098,2020-09-23T00:00:00Z,906947,,831301,75646,1080,149,,,,,,,,,9453,2506,21856,3300,05,982,8076,909264,posNeg,8950,909264,20,43,052de2d72685a74636cebc28c54f51ef7a5c0bcb,0,0,0,0,0,
20200923,AS,0,1571,,1571,,,,,,,,D,9/1/2020 00:00,2020-09-01T00:00:00Z,08/31 20:00,0,,2020-09-01T00:00:00Z,1571,,,0,,,,,,,,,,,,,,,60,0,0,1571,posNeg,0,1571,0,0,2c46457ee4f802b1f3f14dabbca92ccfbf5670d7,0,0,0,0,0,
20200923,AZ,215284,1194582,,1409866,583,21925,114,,62,,34227,A+,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,5525,21925,2020-09-23T00:00:00Z,1405502,,,210920,5258,267,,,287909,,,,,,,,,,04,438,8774,1409866,posNeg,9212,1409866,27,25,3db97c866c945701ac6812c274b470a388262d73,0,0,0,0,0,
20200923,CA,787470,13091953,,13879423,3557,,905,,,,,B,9/23/2020 02:59,2020-09-23T02:59:00Z,09/22 22:59,15204,,2020-09-23T02:59:00Z,13879423,,,787470,,,,,,,,,,,,,,,06,3146,72222,13879423,posNeg,75368,13879423,133,0,1463ec67a916e845ebd2cb9dcf143e860239b742,0,0,0,0,0,
20200923,CO,66053,779058,,1232288,230,7416,,,,,6332,A,9/22/2020 01:59,2020-09-22T01:59:00Z,09/21 21:59,1926,7416,2020-09-22T01:59:00Z,,,,61394,,,1232288,840452,167110,11645,155465,,,,,,,,08,654,5573,845111,totalTestEncountersViral,13151,845111,12,43,c71007212dbe9c1847499f752ccfb5aeae0193fd,0,0,0,0,0,
20200923,CT,56315,1433583,,1489898,73,11447,,,,,9204,B,9/22/2020 20:30,2020-09-22T20:30:00Z,09/22 16:30,4497,11447,2020-09-22T20:30:00Z,1487552,,,53969,3601,896,,,,,,,,,,,,,09,155,9919,1489898,posNeg,10074,1489898,1,0,fd801265d4129d464fc9360a20f5f415955c3023,0,0,0,0,0,
20200923,DC,15050,348398,,363448,92,,26,,17,,11929,A+,9/22/2020 00:00,2020-09-22T00:00:00Z,09/21 20:00,621,,2020-09-22T00:00:00Z,,,,,,,363448,206817,,,,,,,,,,,11,29,1786,363448,posNeg,1815,363448,0,0,65567b387778c44895844720fe46362562407b0f,0,0,0,0,0,
20200923,DE,19830,256214,,276044,61,,12,,,,10443,A+,9/22/2020 18:00,2020-09-22T18:00:00Z,09/22 14:00,629,,2020-09-22T18:00:00Z,,,,18798,552,77,,276044,,,,,,,,,,,10,69,1138,276044,posNeg,1207,276044,1,0,cf27820b82a5ad385c931a4f1e49b1ae5d46c8ca,0,0,0,0,0,
20200923,FL,690499,4465481,3965,5155980,2254,43433,,,,,,A,9/22/2020 23:59,2020-09-22T23:59:00Z,09/22 19:59,13782,43433,2020-09-22T23:59:00Z,7248950,888751,6318956,690499,13782,,,5163125,505164,45080,460024,493810,44075,449702,,15438,,,12,2590,21048,5159945,posNeg,23638,5155980,203,172,77b163b303728ed31e5db5b7532b16a7bc5f6135,0,0,0,0,0,
20200923,GA,309678,2493537,,2803215,1924,27749,,5077,,,,A,9/23/2020 14:50,2020-09-23T14:50:00Z,09/23 10:50,6773,27749,2020-09-23T14:50:00Z,2803215,287839,2515376,309678,,,,,296466,24258,,,,,,,,,13,1457,18331,2803215,posNeg,19788,2803215,96,259,d9c14076295aafc160770ae7d6d217db1d6058ec,0,0,0,0,0,
20200923,GU,2235,45016,,47251,33,,13,,,,1543,A,9/23/2020 06:45,2020-09-23T06:45:00Z,09/23 02:45,37,,2020-09-23T06:45:00Z,47249,,,2235,,,,47251,175,3,,,,,,,,,66,45,378,47251,posNeg,423,47251,0,0,1452355ca652f03a360f08ed2e26e5c6fc7778ab,0,0,0,0,0,
20200923,HI,11522,272547,,284069,181,749,61,,39,,4992,B,9/22/2020 18:00,2020-09-22T18:00:00Z,09/22 14:00,120,749,2020-09-22T18:00:00Z,390003,,,,,,,284069,,,,,,,,,,,15,63,1426,284069,posNeg,1489,284069,0,14,b17cb70b8c587e5a87507a57031b3b68b8a67511,0,0,0,0,0,
20200923,IA,79923,651930,,731853,301,,77,,37,,60350,A+,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,1294,,2020-09-23T00:00:00Z,,,,79923,,,,733400,,,,56600,3345,53215,19021,2434,,,19,1036,5735,731853,posNeg,6771,731853,8,0,589e06e6feba425c24644cfff19a64e3b3ddc24a,0,0,0,0,0,
20200923,ID,38347,257054,,292159,130,1740,39,447,,,20674,A,9/22/2020 19:00,2020-09-22T19:00:00Z,09/22 15:00,451,1740,2020-09-22T19:00:00Z,292159,,,35105,413,38,,,,,,,,,,,,,16,446,884,295401,posNeg,1248,295401,4,14,c6021d51e1016df795f5a68a2ce2b8f879acd8d7,0,0,0,0,0,
20200923,IL,281312,4952493,,5233805,1563,,351,,144,,,A,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,8744,,2020-09-23T00:00:00Z,5231607,,,279114,8508,236,,,,,,,,,,,,,17,1848,44543,5233805,posNeg,46391,5233805,22,0,532c422e30059be3804edb66b4ca90f36dfe007f,0,0,0,0,0,
20200923,IN,113337,1209482,,1322819,815,12312,272,2448,78,,90069,A+,9/22/2020 23:59,2020-09-22T23:59:00Z,09/22 19:59,3530,12312,2020-09-22T23:59:00Z,1916433,,,,3305,225,,1322819,,,,,,,,,,,18,711,6668,1322819,posNeg,7379,1322819,10,47,5249d8f9262b919348fe82470e9825e3ebd51ae4,0,0,0,0,0,
20200923,KS,55226,437055,,492281,313,2766,93,753,27,240,2008,A+,9/23/2020 10:00,2020-09-23T10:00:00Z,09/23 06:00,621,2766,2020-09-23T10:00:00Z,,,,,,,,492281,,,,,,,,,,,20,1267,6323,492281,posNeg,7590,492281,21,60,5489dc0b63fcb8091cf4bbc01fcb3a856ae9454c,0,0,0,0,0,
20200923,KY,63517,1160625,,1216779,530,5095,123,1499,,,11480,B,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,1124,5095,2020-09-23T00:00:00Z,1216779,,,56154,1115,9,,,52939,,,,,,,,21830,,21,786,147736,1224142,posNeg,148313,1224142,5,20,f5ee5fea36480b454e9600c0ebf3aac3ee59d3d9,0,0,0,0,0,
20200923,LA,163869,2056140,,2220009,592,,,,94,,149640,A,9/23/2020 13:00,2020-09-23T13:00:00Z,09/23 09:00,5407,,2020-09-23T13:00:00Z,,,,162645,5225,182,,2218785,,,,,,,,,,,22,616,12419,2220009,posNeg,13035,2220009,21,0,bd123e4a84ed54452f04ff5dd88a5ec51ba81375,0,0,0,0,0,
20200923,MA,127969,1979312,,3476679,371,12571,67,,27,,109397,A+,9/22/2020 08:00,2020-09-22T08:00:00Z,09/22 04:00,9328,12571,2020-09-22T08:00:00Z,3476679,165412,,125866,9118,210,,2105178,,,,118447,,,120496,,,,25,0,0,2107281,totalTestsViral,0,2107281,0,0,b46510d9046c2e6b428d9510b124336a2fa3cdd9,0,0,0,0,0,
20200923,MD,121297,1430808,,1552105,332,15268,79,,,,7396,A,9/23/2020 10:00,2020-09-23T10:00:00Z,09/23 06:00,3902,15268,2020-09-23T10:00:00Z,2441225,145163,,121297,3756,146,,1552105,,,,,,,,,,,24,385,7706,1552105,posNeg,8091,1552105,7,31,48a2c82225048377c10de20449a6238b97a224f4,0,0,0,0,0,
20200923,ME,5171,380864,,386035,14,441,2,,0,,4445,A+,9/22/2020 23:59,2020-09-22T23:59:00Z,09/22 19:59,140,441,2020-09-22T23:59:00Z,391331,6426,384620,4643,139,1,,,10218,515,9689,,,,,,,,23,25,10578,386035,posNeg,10603,386035,0,-1,2eacf50f526cd8664bd872418aec4ed2f4cc7d5b,0,0,0,0,0,
20200923,MI,131259,3293848,,3425107,501,,146,,58,,90216,A+,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,7013,,2020-09-23T00:00:00Z,3460290,166442,3293848,118615,6692,321,,,287162,,,,,,,,,,26,902,33327,3425107,posNeg,34229,3425107,16,0,31f3951f689d05d3416dabd37842d31d1ba026b8,0,0,0,0,0,
20200923,MN,92100,1231851,,1873867,303,7303,148,2045,,,83507,A,9/22/2020 17:00,2020-09-22T17:00:00Z,09/22 13:00,2037,7303,2020-09-22T17:00:00Z,,,,92100,1985,52,1873867,1323951,,,,,,,,,,,27,678,5840,1323951,posNeg,10173,1323951,6,50,e4a6357a164b266f3ae54f792c3f00ed64cf025c,0,0,0,0,0,
20200923,MO,116946,1127617,,1244563,989,,,,,,,B,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,1947,,2020-09-23T00:00:00Z,1633863,122803,1508256,116946,,,,1244563,,,,73234,3388,69846,,,,,29,1580,1234,1244563,posNeg,2814,1244563,83,0,3fe64a1c1b142ce9ad56681b8a79b81d26bb9f89,0,0,0,0,0,
20200923,MP,69,14776,,14845,,4,,,,,29,D,9/22/2020 00:00,2020-09-22T00:00:00Z,09/21 20:00,2,4,2020-09-22T00:00:00Z,19835,,,69,2,,,14845,,,,,,,,,,,69,0,460,14845,posNeg,460,14845,0,0,8884c28f22aea04c24f174e0569788e75c824853,0,0,0,0,0,
20200923,MS,94573,622138,,716711,620,5607,148,,74,,85327,A+,9/22/2020 00:00,2020-09-22T00:00:00Z,09/21 20:00,2870,5607,2020-09-22T00:00:00Z,710040,,,87902,2647,223,,,37700,95,,,,,,,51862,,28,552,3658,716711,posNeg,4210,716711,24,0,8e028eb9f3dd8f021d2b011b3b023bbc8ac7f5e2,0,0,0,0,0,
20200923,MT,10912,306248,,317160,124,601,,,,,8510,C,9/23/2020 01:59,2020-09-23T01:59:00Z,09/22 21:59,165,601,2020-09-23T01:59:00Z,317160,,,10912,,,,,,,,,,,,,,,30,212,2939,317160,posNeg,3151,317160,2,17,5a92332dd4f07d8b2e3b3d7cfb119a64e4184f55,0,0,0,0,0,
20200923,NC,196501,2645926,,2842427,912,,281,,,,176422,A+,9/23/2020 12:10,2020-09-23T12:10:00Z,09/23 08:10,3316,,2020-09-23T12:10:00Z,2842427,,,196501,3316,,,,,,,,,,,,,,37,952,16546,2842427,posNeg,17498,2842427,30,0,eab415093f779d66efff5142a1c27684e8b8e044,0,0,0,0,0,
20200923,ND,18981,212871,,575479,89,763,25,192,,,15476,B,9/23/2020 01:59,2020-09-23T01:59:00Z,09/22 21:59,156,763,2020-09-23T01:59:00Z,596181,,,18981,153,3,575479,231852,9259,412,8847,,,,,,,,38,473,1309,231852,totalTestEncountersViral,6939,231852,0,11,0408d7c5efa7b614f87f1c92524aca20f1dc2f81,0,0,0,0,0,
20200923,NE,41785,389317,,431102,197,2214,,,,,31212,A,9/22/2020 20:10,2020-09-22T20:10:00Z,09/22 16:10,461,2214,2020-09-22T20:10:00Z,580140,,,41785,,,,431401,,,,,,,,,,,31,397,2659,431102,posNeg,3056,431102,9,6,0e13b9b23a5d3735181e9d4e91f3dd5c38b0d61a,0,0,0,0,0,
20200923,NH,8007,236482,,413391,17,728,,230,,,7303,B,9/23/2020 09:00,2020-09-23T09:00:00Z,09/23 05:00,438,728,2020-09-23T09:00:00Z,413391,,,8007,,,,244489,31557,,,30839,,,,,,,33,17,945,244489,posNeg,2925,244489,0,1,bdc274f7dd8d090cd62cec3f98303151a89c9f37,0,0,0,0,0,
20200923,NJ,200988,3221759,,3422747,459,23215,90,,31,,34729,A+,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,16082,23215,2020-09-23T00:00:00Z,3422747,,,200988,14291,1791,,,,,,,,,,,,,34,408,24690,3422747,posNeg,25098,3422747,6,45,92c8ee2bfc81236413a9d6a9bdd8bf803bd15e3e,0,0,0,0,0,
20200923,NM,27790,844541,,872331,69,3371,,,,,15586,C,9/22/2020 17:12,2020-09-22T17:12:00Z,09/22 13:12,854,3371,2020-09-22T17:12:00Z,872331,,,27790,,,,,,,,,,,,,,,35,107,5541,872331,posNeg,5648,872331,3,13,ec22d7acf556db7867dc9b91942a0a7e6199b12d,0,0,0,0,0,
20200923,NV,76807,595117,,671924,479,,134,,69,,2059,A+,9/23/2020 02:59,2020-09-23T02:59:00Z,09/22 22:59,1556,,2020-09-23T02:59:00Z,996307,,,76807,,,,670908,,,,,,,,,,,32,509,2341,671924,posNeg,2850,671924,10,0,47d7118e5f6b480397adba20fe0cdaeb0d36e6d5,0,0,0,0,0,
20200923,NY,451892,9683800,,10135692,490,89995,141,,68,,76306,A,9/22/2020 23:59,2020-09-22T23:59:00Z,09/22 19:59,25437,89995,2020-09-22T23:59:00Z,,,,451892,,,10135692,,,,,,,,,,,,36,665,70265,10135692,posNeg,70930,10135692,5,0,73a23ab7c0b6b78e67d67b6925fc08a799485733,0,0,0,0,0,
20200923,OH,146753,2784446,,2931199,593,14977,200,3218,113,,126023,A+,9/23/2020 14:00,2020-09-23T14:00:00Z,09/23 10:00,4687,14977,2020-09-23T14:00:00Z,2923158,,,138712,4387,300,,,,,,,,,,,,,39,903,41509,2931199,posNeg,42412,2931199,52,78,2d9e1a6bf4a2598b57f9a3d554613fc62cfc0ac1,0,0,0,0,0,
20200923,OK,80161,1034165,6067,1114326,612,6057,226,,,,66779,A+,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,970,6057,2020-09-23T00:00:00Z,1127633,91214,1034165,80161,,,,,76497,3764,,,,,,,,,40,1089,11398,1120393,posNeg,12487,1114326,8,61,7dba4d79cd71bc996f8f50153d1fc4d8a407f53e,0,0,0,0,0,
20200923,OR,31503,614622,,646125,188,2438,45,,16,,5475,A+,9/23/2020 03:01,2020-09-23T03:01:00Z,09/22 23:01,538,2438,2020-09-23T03:01:00Z,,,614622,29948,,,,644570,,,,,,,,,,,41,190,3354,646125,posNeg,3544,646125,6,19,23b1d6c09988cb0f3b5d89fa439ffbc615e1e40a,0,0,0,0,0,
20200923,PA,152544,1790412,,1942956,421,,,,54,,123560,A+,9/23/2020 12:00,2020-09-23T12:00:00Z,09/23 08:00,8062,,2020-09-23T12:00:00Z,2809305,,,147862,,,,1938274,,,,,,,,,,,42,898,12496,1942956,posNeg,13394,1942956,39,0,3f5a6abc7bba96c41e5b1bec3d83c98576cc6d95,0,0,0,0,0,
20200923,PR,42660,305972,,348632,376,,63,,36,,,C,9/23/2020 00:00,2020-09-23T00:00:00Z,09/22 20:00,617,,2020-09-23T00:00:00Z,310546,7002,303412,20439,447,170,,,,22221,,,,,,,,,72,64,0,348632,posNeg,64,348632,4,0,6c1a0e3b87f8748333302c3a12211220b41bee6e,0,0,0,0,0,
20200923,RI,24177,300943,,706578,86,2713,9,,5,,2275,A+,9/23/2020 12:00,2020-09-23T12:00:00Z,09/23 08:00,1102,2713,2020-09-23T12:00:00Z,,33952,672626,24177,,,706578,325120,,,,,,,,,,,44,133,2596,325120,totalTestEncountersViral,9770,325120,3,9,619de2d19bf56b44041c7b6d6fbed07b54816f4c,0,0,0,0,0,
20200923,SC,141686,1048898,,1190584,786,8906,190,,103,,67491,A+,9/22/2020 23:59,2020-09-22T23:59:00Z,09/22 19:59,3262,8906,2020-09-22T23:59:00Z,1187069,176559,1010510,138171,3085,177,,,69484,6470,63014,,,,,,34200,9523,45,897,17203,1190584,posNeg,18100,1190584,19,55,a2413f171c4771da291c2b1a9c024c46392d5454,0,0,0,0,0,
20200923,SD,19634,160498,,180132,192,1367,,,,,16324,A,9/22/2020 14:00,2020-09-22T14:00:00Z,09/22 10:00,202,1367,2020-09-22T14:00:00Z,250393,,,,,,,180132,,,,,,,,,,,46,445,1341,180132,posNeg,1786,180132,0,44,0b9b24e3e38af8930d497fead940060bba18ffa9,0,0,0,0,0,
20200923,TN,186709,2526634,,2713343,919,8338,286,,114,,169649,A+,9/23/2020 15:00,2020-09-23T15:00:00Z,09/23 11:00,2275,8338,2020-09-23T15:00:00Z,2706717,219892,2486825,180083,2192,83,,,,,,,,,,,,,47,1561,20378,2713343,posNeg,21939,2713343,14,75,f1d4ec7e99211a7a99ff77c068a85a26d56bdb07,0,0,0,0,0,
20200923,TX,719599,5021075,,5740674,3195,,1041,,,,618054,A,9/23/2020 18:15,2020-09-23T18:15:00Z,09/23 14:15,15129,,2020-09-23T18:15:00Z,5740674,,,719599,,,,,390538,35217,,,,,,,76275,9003,48,3392,69550,5740674,posNeg,72942,5740674,135,0,b782ae3cef51213c4192af8df10043e5459198fc,0,0,0,0,0,
20200923,UT,65921,709937,,775858,190,3584,65,876,,354,52357,A+,9/23/2020 10:39,2020-09-23T10:39:00Z,09/23 06:39,444,3584,2020-09-23T10:39:00Z,993246,,,65921,,,,775858,,,,,,,11768,1661,19120,1760,49,877,6022,775858,posNeg,6899,775858,1,34,533f79e51b72a89e18727bcef40b18d08ed5fda6,0,0,0,0,0,
20200923,VA,142590,1786980,298,1922606,916,17954,215,,113,,17038,A+,9/22/2020 17:00,2020-09-22T17:00:00Z,09/22 13:00,3089,17954,2020-09-22T17:00:00Z,,161672,,135626,2882,207,1922606,,,,,,,,,,,,51,580,10501,1929868,posNeg,11026,1929570,29,35,96e4c34c318a0aca652c7411d5e196245393ff5a,0,0,0,0,0,
