state,positive,negative,pending,death,total,lastUpdateEt,checkTimeEt
AK,9,504.0,,,513,3/19 16:30,3/20 11:29
AL,81,28.0,,0.0,109,3/20 11:00,3/20 12:19
AR,62,351.0,146.0,,559,3/19 15:31,3/20 13:39
AS,0,,,0.0,0,3/19 00:00,3/20 11:40
AZ,65,211.0,101.0,0.0,377,3/20 00:00,3/20 13:41
CA,1057,8787.0,,20.0,9844,3/20 01:25,3/20 13:45
CO,277,2675.0,,2.0,2952,3/19 18:00,3/20 12:10
CT,159,604.0,,3.0,763,3/19 17:00,3/20 12:16
DC,71,501.0,1.0,0.0,573,3/19 20:00,3/20 12:47
DE,38,36.0,,0.0,74,3/20 10:00,3/20 12:39
FL,520,1870.0,1026.0,10.0,3416,3/20 11:00,3/20 12:35
GA,420,1966.0,,13.0,2386,3/20 12:00,3/20 12:40
GU,14,86.0,,,100,3/20 05:15,3/20 12:45
HI,26,124.0,9.0,,159,3/19 18:00,3/20 12:39
IA,44,642.0,,,686,3/19 00:00,3/20 12:56
ID,23,590.0,,,613,3/19 19:00,3/20 13:04
IL,426,2725.0,,4.0,3151,3/19 00:00,3/20 13:04
IN,79,475.0,,2.0,554,3/20 00:59,3/20 13:16
KS,34,417.0,,1.0,451,3/19 11:00,3/20 13:15
KY,40,599.0,,1.0,639,3/19 17:00,3/20 02:12
LA,479,568.0,,10.0,1047,3/20 10:30,3/20 13:26
MA,328,2804.0,,,3132,3/19 11:30,3/20 11:55
MD,149,94.0,,1.0,243,3/20 10:00,3/20 12:49
ME,57,2264.0,,,2321,3/20 11:00,3/20 13:08
MI,334,2115.0,,3.0,2449,3/19 15:00,3/20 13:02
MN,115,3741.0,,,3856,3/20 00:00,3/20 12:56
MO,47,369.0,,1.0,416,3/20 10:05,3/20 12:42
MP,0,,,0.0,0,3/20 01:30,3/20 12:31
MS,80,695.0,,1.0,775,3/20 11:35,3/20 12:40
MT,16,931.0,,,947,3/19 22:11,3/20 13:05
NC,137,3096.0,,0.0,3233,3/20 09:35,3/20 13:07
ND,20,800.0,,0.0,820,3/20 00:00,3/20 13:11
NE,32,240.0,,0.0,272,3/19 00:00,3/20 12:57
NH,44,745.0,631.0,,1420,3/19 09:00,3/20 12:59
NJ,742,210.0,74.0,9.0,1026,3/19 12:00,3/20 13:07
NM,35,2762.0,,,2797,3/19 00:00,3/20 13:05
NV,109,1992.0,-3.0,1.0,2098,3/19 02:59,3/20 13:45
NY,7102,25325.0,,35.0,32427,3/20 13:20,3/20 13:40
OH,119,140.0,,,259,3/19 14:00,3/20 13:32
OK,49,538.0,374.0,1.0,961,3/20 08:00,3/20 13:38
OR,88,1329.0,437.0,3.0,1854,3/19 11:00,3/20 13:35
PA,268,2574.0,,1.0,2842,3/20 12:00,3/20 13:41
PR,8,107.0,49.0,,164,3/20 07:00,3/20 13:34
RI,44,654.0,140.0,,838,3/19 00:00,3/20 13:34
SC,81,833.0,,1.0,914,3/19 17:10,3/20 13:30
SD,14,663.0,270.0,1.0,947,3/19 00:00,3/20 13:32
TN,154,464.0,,,618,3/19 15:00,3/20 13:32
TX,194,5083.0,,5.0,5277,3/20 13:00,3/20 13:34
UT,78,1448.0,,0.0,1526,3/19 00:00,3/20 12:17
VA,114,2211.0,,2.0,2325,3/20 00:00,3/20 12:32
VI,3,,,0.0,3,3/19 17:30,3/20 11:59
VT,22,667.0,,,689,3/19 14:00,3/20 11:55
WA,1376,19336.0,,74.0,20712,3/19 18:00,3/20 11:50
WI,155,2192.0,,2.0,2347,3/19 16:00,3/20 11:46
WV,7,219.0,13.0,0.0,239,3/20 00:00,3/20 13:49
WY,19,350.0,,,369,3/20 13:00,3/20 13:48
