date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201206,AK,35720,,1042056,,totalTestsViral,1077776,164,799,,,21,,7165,A,12/6/2020 03:59,2020-12-06T03:59:00Z,12/05 22:59,143,799,2020-12-06T03:59:00Z,1077776,43746,1032815,,143,,,,,,,,,,,,,,02,757,9788,1077776,10545,1077776,0,0,7b1d31e2756687bb9259b29195f1db6cdb321ea6,0,0,0,0,0,
20201206,AL,269877,45962,1421126,,totalTestsPeopleViral,1645041,1927,26331,,2290,,1317,168387,A,12/6/2020 11:00,2020-12-06T11:00:00Z,12/06 06:00,3889,26331,2020-12-06T11:00:00Z,,,,223915,3462,427,,1645041,,,,74784,,,,,,,01,2288,5769,1691003,7880,1691003,12,0,19454ed8fe28fc0a7948fc0771b2f3c846c1c92e,0,0,0,0,0,
20201206,AR,170924,22753,1614979,,totalTestsViral,1763150,1076,9401,374,,179,1038,149490,A+,12/6/2020 00:00,2020-12-06T00:00:00Z,12/05 19:00,2660,9401,2020-12-06T00:00:00Z,1763150,,1614979,148171,2437,223,,,,,,,,,155934,27710,21856,3300,05,1542,13244,1785903,14704,1785903,40,21,25fc83bffff5b32ba1a737be8e087fad9f4fde33,0,0,0,0,0,
20201206,AS,0,,2140,,totalTestsViral,2140,,,,,,,,D,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,2020-12-01T00:00:00Z,2140,,,0,,,,,,,,,,,,,,,60,0,0,2140,0,2140,0,0,8c39eec317586b0c34fc2903e6a3891ecb00469e,0,0,0,0,0,
20201206,AZ,364276,12590,2018813,,totalTestsPeopleViral,2370499,2977,28248,714,,462,,56382,A+,12/6/2020 00:00,2020-12-06T00:00:00Z,12/05 19:00,6950,28248,2020-12-06T00:00:00Z,,,,351686,6431,519,,2370499,370928,,,,,,,,,,04,5376,15661,2383089,20586,2383089,25,242,7cf59da9e4bc31d905e179211313d08879880a85,0,0,0,0,0,
20201206,CA,1341700,,23853346,,totalTestsViral,25195046,10624,,2393,,,,,B,12/6/2020 02:59,2020-12-06T02:59:00Z,12/05 21:59,19876,,2020-12-06T02:59:00Z,25195046,,,1341700,,,,,,,,,,,,,,,06,30075,262996,25195046,293071,25195046,85,0,2fbb11905a59ffc894c8ec1ec6f051691be2381c,0,0,0,0,0,
20201206,CO,260581,11069,1608829,,totalTestEncountersViral,3478160,1750,14868,,,,,13941,A,12/6/2020 01:59,2020-12-06T01:59:00Z,12/05 20:59,2724,14868,2020-12-06T01:59:00Z,,,,249512,,,3478160,1858341,214953,18864,196089,,,,,,,,08,3234,34610,1869410,36046,1869410,0,24,b4df83fcc4f4ed0a3f62c46ac7c1c5122afad538,0,0,0,0,0,
20201206,CT,127715,8131,3294383,,posNeg,3422098,1150,12257,,,,,9800,C,12/3/2020 20:30,2020-12-03T20:30:00Z,12/03 15:30,5146,12257,2020-12-03T20:30:00Z,3413967,,,119584,4143,1003,,,,,,,,,,,49816,,09,0,0,3422098,0,3422098,0,0,9fbbab70cc68c6bd651d4d7782679d747ebaf836,0,0,0,0,0,
20201206,DC,23136,,711497,,totalTestEncountersViral,734633,171,,50,,23,,16665,A+,12/5/2020 00:00,2020-12-05T00:00:00Z,12/04 19:00,697,,2020-12-05T00:00:00Z,,,,,,,734633,317806,,,,,,,,,,,11,264,6982,734633,7246,734633,2,0,79db850b5099f9feec14ec9d23720b9c507c0e07,0,0,0,0,0,
20201206,DE,39912,1550,400854,,totalTestEncountersViral,778298,315,,39,,,,18851,A+,12/5/2020 18:00,2020-12-05T18:00:00Z,12/05 13:00,793,,2020-12-05T18:00:00Z,,40267,,38362,698,95,778298,440766,,,,,,,,,,,10,816,2340,440766,8480,440766,11,0,9f96a8c6277af3fc08cde31741aea66a3cbf381a,0,0,0,0,0,
