state,covid19SiteOld,covid19Site,covid19SiteSecondary,twitter,pui,pum,notes,name
AK,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx,@Alaska_DHSS,All data,False,"Unclear if their reported number means ""persons tested"" or ""specimens tested."" We count them as ""persons tested"" because the header indicates this is the case. Total tests are taken from the annotations on the charts on the page. Negatives are calculated as totals – positives. Negatives reported on site have decreased at various times, without explanation. Latest update time taken from [this page](http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx).",Alaska
AL,http://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html,https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/6d2771faa9da4a2786a509d82c8cf0f7,,@alpublichealth,No data,False,Last negative count from 3/16. Last update time taken from [main page](http://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html).,Alabama
AR,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,,@adhpio,All data,True,"Pending = ""PUIs""",Arkansas
AS,http://www.samoagovt.ws/2020/03/ministry-of-health-coronavirus-covid-19-update-14-march-2020/,http://www.samoagovt.ws/2020/03/ministry-of-health-coronavirus-covid-19-update-14-march-2020/,,,No Data,False,"American Samoa: No data, no confirmed cases yet.",American Samoa
AZ,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,,@azdhs,All data,False,"Negative = “Ruled Out”. Our total is slightly higher than the state’s site because their total is only from public health labs. We also add in the additional positives from private labs, listed in the second table. ",Arizona
CA,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,@CAPublicHealth,Only positives,False,"We report positives from the [LA Times](https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/), which is aggregated from county-level data and is ahead of the official California data site. When using LA Times data for positives, we do not add deaths back into the positive count, as we are assuming they are already included. Previously, we were adding them back in because the California state site was not including them in the positive count. Negative numbers are inferred from Totals - Positives, taken from the [latest press release](https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-027.aspx). We ignoring pending numbers when they are irregularly reported from a press conference/non-dashboard source. We're assuming 1 test=1 person, pending further guidance. ",California
CO,https://www.colorado.gov/pacific/cdphe/2019-novel-coronavirus,https://covid19.colorado.gov/data,,@cdphe,Positives + Negatives,False,Negative is from state lab only. Total private tests unknown. Death count from  [media](https://kdvr.com/news/coronavirus/colorados-second-coronavirus-death-reported-in-weld-county/).,Colorado
CT,https://portal.ct.gov/Coronavirus,https://portal.ct.gov/Coronavirus,,@ctdph,All data,False,Last negative count from 3/13,Connecticut
DC,https://coronavirus.dc.gov/,https://coronavirus.dc.gov/page/coronavirus-surveillance-data,,@_DCHealth,All data,False,"Positives and negatives include public and commercial labs. Pending count is public lab only. Negative count dropped from dataset 3/11, but is back as of 3/13.",District Of Columbia
DE,https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html,https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html,,@Delaware_DHSS,All data,True,Last reported negative number is from 3/13.,Delaware
FL,http://www.floridahealth.gov/diseases-and-conditions/COVID-19/,https://experience.arcgis.com/experience/96dd742462124fa0b38ddedb9b25e429/,,@HealthyFla,All data,True,"All numbers reported. Dashboard mentions that dashboard is updated around 11am and 6pm daily, so we use the latest of those times for our ""Last Update"" time.",Florida
GA,https://dph.georgia.gov/novelcoronavirus,https://dph.georgia.gov/georgia-department-public-health-covid-19-daily-status-report,,@GaDPH,Only positives,False,"Positive includes deaths. The page includes a ""report generated"" time at the bottom of the page and a data ""as of"" time. We use the ""as of"" time a the top of the page as our Update Time.",Georgia
GU,https://ghs.guam.gov/coronavirus-covid-19,https://ghs.guam.gov/coronavirus-covid-19,,@guamdphss,All Data,False,Guam: Data conveyed in individual press releases,Guam
